adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_versio,lang,lang1,lang2,lang3,adm0_en,adm3_ref_n,center_lat,center_lon,total_pop_reprod
Mphende,,,,MZ100902,Magoe,,,,MZ1009,Tete,,,,MZ10,Moçambique,,,,MZ,2019-06-07,,1926.08158449,V_01,pt,,,,Mozambique,Mphende,-15.86937339,31.87936238,8850.66276460886
Muabanama,,,,MZ111002,Lugela,,,,MZ1110,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,2208.71150117,V_01,pt,,,,Mozambique,Muabanama,-16.10403006,36.42615314,2344.16891114414
Muaguide,,,,MZ010802,Meluco,,,,MZ0108,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1204.26159123,V_01,pt,,,,Mozambique,Muaguide,-12.45091853,40.01090625,2296.89592015743
Mualadze,,,,MZ100402,Chifunde,,,,MZ1004,Tete,,,,MZ10,Moçambique,,,,MZ,2019-06-07,,3500.42396545,V_01,pt,,,,Mozambique,Mualadze,-14.36134869,32.93220339,25764.9683302194
Mualama,,,,MZ112301,Pebane,,,,MZ1123,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,5123.37743269,V_01,pt,,,,Mozambique,Mualama,-16.75120147,38.45215631,16381.8667627573
Muanza,,,,MZ091202,Muanza,,,,MZ0912,Sofala,,,,MZ09,Moçambique,,,,MZ,2019-06-07,,1601.89860483,V_01,pt,,,,Mozambique,Muanza,-18.94900848,34.66608693,3798.29752376676
Muaquia,,,,MZ080802,Majune,,,,MZ0808,Niassa,,,,MZ08,Moçambique,,,,MZ,2019-06-07,,2967.44207532,V_01,pt,,,,Mozambique,Muaquia,-13.39328582,36.66218141,530.158622652292
Muatua,,,,MZ071303,Mogovolas,,,,MZ0713,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,604.59049245,V_01,pt,,,,Mozambique,Muatua,-15.76690531,39.64814183,5919.51091635227
Mubangoene,,,,MZ020803,Guija,,,,MZ0208,Gaza,,,,MZ02,Moçambique,,,,MZ,2019-06-07,,1215.68749252,V_01,pt,,,,Mozambique,Mubangoene,-24.24624076,32.9275198,9303.05769062787
Mucoduene,,,,MZ031102,Morrumbene,,,,MZ0311,Inhambane,,,,MZ03,Moçambique,,,,MZ,2019-06-07,,2024.00413144,V_01,pt,,,,Mozambique,Mucoduene,-23.42183231,34.93394919,7286.21983746439
Mucojo,,,,MZ010603,Macomia,,,,MZ0106,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1116.59533855,V_01,pt,,,,Mozambique,Mucojo,-12.14071334,40.38398733,3649.60068064928
Mucuali,,,,MZ070602,Larde,,,,MZ0706,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1109.19550665,V_01,pt,,,,Mozambique,Mucuali,-16.29318365,39.41667828,4993.54674613476
Muculoene,,,,MZ071702,Muecate,,,,MZ0717,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,978.04825151,V_01,pt,,,,Mozambique,Muculoene,-14.75180891,39.39397562,1764.31823994219
Muecate,,,,MZ071703,Muecate,,,,MZ0717,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1908.1833297,V_01,pt,,,,Mozambique,Muecate,-14.70266827,39.65452756,31296.8339730501
Mueda,,,,MZ011203,Mueda,,,,MZ0112,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1147.64864717,V_01,pt,,,,Mozambique,Mueda,-11.62006297,39.52039855,33046.859356463
Muembe,,,,MZ081602,Muembe,,,,MZ0816,Niassa,,,,MZ08,Moçambique,,,,MZ,2019-06-07,,1704.73064134,V_01,pt,,,,Mozambique,Muembe,-13.12350449,35.73076759,7986.88236761093
Mugazine,,,,MZ050603,Matutuine,,,,MZ0506,Maputo,,,,MZ05,Moçambique,,,,MZ,2019-06-07,,430.66242141,V_01,pt,,,,Mozambique,Mugazine,-26.15907416,32.53502782,3858.73746645451
Mugeba,,,,MZ111402,Mocuba,,,,MZ1114,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,2106.64246946,V_01,pt,,,,Mozambique,Mugeba,-16.64027383,37.25328695,15925.0283718407
Muidumbe,,,,MZ011303,Muidumbe,,,,MZ0113,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,1096.21243539,V_01,pt,,,,Mozambique,Muidumbe,-11.85647338,39.82045791,15880.344583869
Muipite,,,,MZ081801,Nipepe,,,,MZ0818,Niassa,,,,MZ08,Moçambique,,,,MZ,2019-06-07,,1057.04404861,V_01,pt,,,,Mozambique,Muipite,-13.72830628,38.02677275,531.515998125076
Muite,,,,MZ071003,Mecuburi,,,,MZ0710,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1497.56813269,V_01,pt,,,,Mozambique,Muite,-14.15936534,38.84393196,4799.73906648159
Mukumbura,,,,MZ100903,Magoe,,,,MZ1009,Tete,,,,MZ10,Moçambique,,,,MZ,2019-06-07,,3571.86915514,V_01,pt,,,,Mozambique,Mukumbura,-16.03460741,31.63758134,9135.14631547034
Mulevala,,,,MZ111901,Mulevala,,,,MZ1119,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,2700.98490853,V_01,pt,,,,Mozambique,Mulevala,-16.37289785,37.59052582,30086.1828664988
Mulima,,,,MZ090303,Chemba,,,,MZ0903,Sofala,,,,MZ09,Moçambique,,,,MZ,2019-06-07,,1598.62036513,V_01,pt,,,,Mozambique,Mulima,-17.36946083,34.64255738,4507.21872994304
